Setup,Punishment,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,Alpha,Beta,First 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Safe Fail,Last 10 Avg Safe Fail,First 10 Avg Task Fail,Last 10 Avg Task Fail
8,100,-33.22275,-75.8077,0,10000,0.4234576542345765,10001,0.3590640935906409,0.1207545543433948,0.0616064673,0.0592801405389436,0.078417059879699,0.7530349487326937,107.7072865650721,,,,,,,,,,
0,1,-9.265946,-14.4417095,0,9998,0.5622437756224378,9997,0.2946705329467053,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.3,0.9,0.5
0,1,-11.294359,-20.365498,0,10001,0.5434456554344566,9996,0.2940705929407059,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.3,0.4,0.3,0.7
0,1,-11.1962595,-21.979385,0,9999,0.5513448655134486,9993,0.290970902909709,0.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,0.0,0.0,0.0,0.0,0.5,0.1,0.5,0.7
0,1,-9.886875,-18.743649,0,9996,0.5607439256074392,10000,0.2948705129487051,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.5,0.3,1.2,0.3
0,1,-11.237585,-26.308819,0,10001,0.5535446455354465,9999,0.3085691430856914,0.0,0.0,0.0,0.0,0.0,10.0,1.0,20.0,0.0,0.0,0.0,0.0,0.2,0.8,0.9,0.8
0,10,-7.695746,-18.330378,0,9475,0.0603939606039396,9797,0.0362963703629637,0.3263661480797044,0.42377086,0.0131757910094876,0.0080097303707723,-0.3395419390891917,-4.317805903707724,,,,,,,,,,
0,10,-7.204382,-14.70578,0,9940,0.0623937606239376,9928,0.0348965103489651,0.3221764148746373,0.3014788925,0.0134220115767565,0.0074797223276234,-0.3355984264513931,-3.0895861482762346,,,,,,,,,,
0,10,-6.274648,-14.2908,0,9715,0.0662933706629337,9148,0.0363963603639636,0.321622144803885,0.35365894,0.0135481764970371,0.0060251141049075,-0.335170321300924,-3.5968405410490765,,,,,,,,,,
2,100,-181.27168,-420.95956,0,9933,0.0615938406159384,9916,0.0425957404259574,0.2569366580919325,0.19636556125,0.0172641401131865,0.0142126262238961,-8.994910844840406,-94.9417335903848,,,,,,,,,,
2,100,-90.33755,-233.50443,0,9969,0.067993200679932,9929,0.0462953704629537,0.3035853898090474,0.1525192974999999,0.0155650431762419,0.008741222348437,-6.603203421319574,-90.86698941346164,,,,,,,,,,
02,100,-214.90486,-839.56366,0,9938,0.0678932106789321,9917,0.047295270472952705,0.2342220835941212,0.23925583125,0.027184195071064437,0.027172039733663812,-10.216042099383648,-209.4195524872516,,,,,,,,,,
